NR, Time, Parameter
0, 43.36511994960472, 21
1, 10.968190740929384, 52
2, 30.041935720560005, 74
3, 41.02265900652487, 23
4, 31.160586945581713, 65
5, 13.226034927264486, 92
6, 34.2795581902084, 58
7, 29.82666812486797, 8
8, 11.490689358938988, 49
9, 6.610659922871781, 2
10, 10.117427454408755, 64
11, 34.21839155994169, 19
12, 30.275550893060334, 22
13, 23.793459274473864, 78
14, 29.990689843534142, 100
15, 26.571497508633584, 96
16, 5.875820328738524, 61
17, 32.969630558166216, 77
18, 26.96429931652612, 0
19, 44.848447642376584, 99
20, 33.92796801374545, 55
21, 26.10221148307771, 47
22, 43.74121503660018, 89
23, 26.49082594698528, 29
24, 46.921081394814024, 61
25, 39.47777925754773, 48
26, 17.525890688988593, 94
27, 45.39294382987143, 89
28, 28.806040844960844, 54
29, 6.694155281230069, 61
30, 38.29294451792273, 10
31, 14.163333400447792, 69
32, 20.43233523436076, 24
33, 0.2734727074015231, 95
34, 39.471124115256245, 73
35, 26.127031489397805, 66
36, 0.35970262252907337, 83
37, 10.270934808167343, 40
38, 20.442253858696592, 13
39, 7.73892902809068, 83
40, 29.268509244036945, 33
41, 42.74884631339643, 54
42, 28.233511882142754, 78
43, 13.778027143999438, 87
44, 19.872707409773728, 26
45, 20.66140791479682, 100
46, 27.87813375982186, 22
47, 18.51064844395735, 71
48, 24.18800788140954, 39
49, 28.88255765451353, 99
50, 35.27473039855426, 94
51, 6.903425922616913, 84
52, 5.954288224806708, 29
53, 22.329743870760964, 89
54, 47.46225892074224, 12
55, 10.722907076904004, 51
56, 39.30405614466885, 70
57, 30.701268351471946, 87
58, 35.33949667664349, 20
59, 19.45518402925515, 81
60, 0.26453167362859853, 11
61, 41.162773275870244, 60
62, 46.29308938989246, 55
63, 4.407034465700555, 33
64, 11.0885122309756, 10
65, 30.45144306039636, 92
66, 19.2163005213011, 51
67, 30.69827953583569, 66
68, 14.32346169337847, 76
69, 2.8731517291500586, 99
70, 41.01143672141102, 81
71, 24.718418880914168, 1
72, 10.08536214030073, 84
73, 46.537923367287924, 66
74, 14.30032558543477, 4
75, 39.19797226768542, 65
76, 25.790681577641415, 29
77, 30.759499285177473, 86
78, 1.803056657217439, 30
79, 32.750955969202245, 20
80, 4.342140628701873, 35
81, 38.98364394882086, 45
82, 33.48310231981542, 51
83, 29.304008260484927, 66
84, 0.7683261248936979, 90
85, 3.430858596852948, 11
86, 27.479632677321796, 92
87, 41.488240122464994, 74
88, 17.404762412412122, 35
89, 11.314775648103431, 24
90, 22.73795043293902, 51
91, 28.745336087290735, 33
92, 8.751739340698206, 64
93, 5.323247819628829, 9
94, 25.15845831269466, 43
95, 47.35077325888313, 65
96, 47.83546747926376, 68
97, 40.65736748031871, 73
98, 12.507074584883398, 56
99, 48.30277278165529, 72
