NR, Time, Parameter
0, 8.124713126986933, 58
1, 32.41426693546208, 91
2, 9.309953456403386, 94
3, 16.855608966487516, 37
4, 28.389061121046964, 96
5, 9.658064386060428, 78
6, 42.80732521367289, 51
7, 41.34949126381548, 65
8, 16.3963329370088, 51
9, 33.46279267049771, 23
10, 49.084259622026934, 61
11, 16.18008350425414, 31
12, 0.34150602697777255, 49
13, 11.776062640076695, 96
14, 13.349716348214008, 42
15, 15.097291984580735, 92
16, 28.643867377726632, 33
17, 32.68416835350993, 88
18, 11.815128871099773, 85
19, 5.911242390198629, 39
20, 7.985841261378157, 87
21, 25.12602356191948, 90
22, 38.49205237290931, 88
23, 5.870787292238816, 37
24, 18.37719515510851, 28
25, 10.956430046767196, 17
26, 23.909094986761197, 58
27, 37.38674185754283, 77
28, 18.681242099346818, 89
29, 27.46172544091824, 60
30, 37.8675261652163, 85
31, 41.28017545432285, 97
32, 12.373271465428887, 96
33, 29.790723276561142, 100
34, 4.093515323663743, 57
35, 26.40865620365967, 46
36, 3.9051361073720092, 72
37, 5.610439576863513, 70
38, 45.144408011990436, 25
39, 28.635083711393232, 19
40, 8.226857829137751, 66
41, 22.09202763298154, 87
42, 10.270074276968078, 74
43, 24.441398341559484, 65
44, 22.274134609361024, 7
45, 22.6716150089891, 65
46, 20.77122869223299, 72
47, 2.886839046626238, 59
48, 33.63838561136847, 39
49, 36.16400399125011, 50
50, 12.722860953380621, 0
51, 37.290224141590784, 74
52, 3.6514762957728655, 54
53, 17.22644332810673, 8
54, 27.058175203995276, 7
55, 46.72913994424732, 8
56, 49.30686240411384, 60
57, 1.5867435511539518, 52
58, 8.999066341285427, 17
59, 38.291384146185585, 93
60, 32.29404090485817, 53
61, 18.72304603191338, 48
62, 22.42685663313429, 48
63, 18.78227669009938, 87
64, 48.207218819034296, 69
65, 6.649490316783668, 44
66, 5.931658364263781, 68
67, 19.652931589202037, 16
68, 36.39290704530641, 28
69, 41.741080583435775, 96
70, 1.1367663660983296, 38
71, 23.150195059738998, 92
72, 27.22226695125104, 68
73, 18.963823401689687, 29
74, 12.375601925188779, 44
75, 7.756068660188364, 24
76, 46.87051805675334, 92
77, 38.27449646325582, 4
78, 40.47390917695972, 53
79, 30.746160360445625, 2
80, 12.033314707160597, 8
81, 5.044835654625351, 4
82, 22.322053312430118, 86
83, 35.164313343246434, 6
84, 12.236707560919625, 5
85, 20.113267540545316, 29
86, 26.98799044537142, 96
87, 43.186512133502816, 7
88, 7.00677875574523, 37
89, 11.708075857082845, 93
90, 28.80551677901435, 73
91, 29.89588371386312, 86
92, 40.919124454507646, 30
93, 15.088221757210164, 18
94, 49.28477803625629, 66
95, 11.052137022301627, 38
96, 13.757696025430272, 71
97, 47.42601275133607, 94
98, 45.578883281027224, 80
99, 33.93750616431257, 71
