NR, Time, Parameter
0, 4.189474564886236, 0
1, 29.67766433695267, 47
2, 33.69535455458043, 58
3, 18.968729049130108, 56
4, 8.836113105962868, 92
5, 29.404043882824322, 98
6, 4.844930109479851, 38
7, 24.66467333626643, 6
8, 28.20656691405089, 67
9, 28.99141032555248, 54
10, 14.262860016077783, 49
11, 15.928915052600285, 22
12, 47.675683402715826, 5
13, 40.699359009062, 94
14, 44.119208302052826, 93
15, 10.534034457258002, 66
16, 13.912811344540794, 78
17, 15.718369595507731, 44
18, 14.239547835883698, 15
19, 14.392158118578974, 62
20, 21.945837223393227, 21
21, 14.4239410531539, 33
22, 49.440278711233354, 96
23, 5.305972667230607, 29
24, 33.321680604900685, 18
25, 4.798800575302209, 70
26, 41.939499791226595, 96
27, 8.442620943244588, 76
28, 45.12706512203255, 69
29, 26.895796060186623, 24
30, 0.33325533880512737, 3
31, 18.477027938939976, 36
32, 47.09029791797688, 73
33, 21.32512805316203, 56
34, 26.044694753802826, 58
35, 14.74707905873477, 14
36, 35.81254545834742, 15
37, 22.220253157943393, 55
38, 24.662777506953677, 11
39, 43.22513756782488, 35
40, 36.581687133280774, 14
41, 48.42197870974286, 10
42, 37.21387676645825, 28
43, 36.368079511206716, 41
44, 7.836359555669192, 42
45, 13.805401494154351, 80
46, 36.776087251620034, 86
47, 38.85227854329664, 90
48, 34.3968787471987, 4
49, 21.668881215318585, 90
50, 39.70986996639401, 40
51, 9.519933850106238, 71
52, 33.05652135522478, 80
53, 1.7818093110555933, 81
54, 31.364252421248924, 31
55, 6.843733633437515, 48
56, 43.60574109225063, 28
57, 33.66738155323203, 33
58, 23.505770471480897, 62
59, 40.69344259318145, 93
60, 24.83632016278791, 16
61, 9.928648410280317, 11
62, 47.54163791101658, 92
63, 37.472298821132284, 0
64, 21.715939070009167, 62
65, 27.886858065134728, 26
66, 35.49952550907248, 4
67, 20.907967421405633, 33
68, 30.668911106992596, 80
69, 29.194947792111254, 81
70, 17.435188771871125, 67
71, 32.84704832521648, 23
72, 43.894482515789775, 29
73, 43.75195365105417, 85
74, 24.25299752139373, 80
75, 19.610502793581077, 45
76, 27.17066574132407, 37
77, 4.826661653418291, 14
78, 48.14594756100147, 96
79, 38.19683093103444, 53
80, 48.46810715167705, 41
81, 12.369812899238685, 54
82, 5.790958991719197, 59
83, 47.81577636260761, 84
84, 5.676814670703773, 89
85, 19.904465490884633, 16
86, 38.68408906540701, 61
87, 42.006041409343965, 62
88, 30.05293958336223, 87
89, 11.743002023161402, 37
90, 13.396193276154772, 27
91, 44.4905306588815, 100
92, 20.450291060210485, 71
93, 38.58993288993538, 33
94, 33.74945235163657, 52
95, 19.568919691827347, 56
96, 21.259964033469377, 33
97, 45.61843650588146, 34
98, 24.275269630620944, 28
99, 16.99207784096382, 5
