NR, Time, Parameter
0, 28.846687370643497, 50
1, 42.15153633138979, 80
2, 45.833268113520035, 70
3, 7.952658440433552, 41
4, 10.188128833940036, 11
5, 1.2820115079809125, 1
6, 31.444706309598768, 75
7, 7.6524306192317315, 79
8, 35.37879569220262, 10
9, 28.589691736699958, 3
10, 37.116981198701694, 16
11, 49.17070957038784, 81
12, 31.57508961021518, 45
13, 9.327758565441474, 83
14, 44.8954620293361, 38
15, 9.691445728919362, 31
16, 36.31563103945141, 100
17, 18.905347872671328, 33
18, 32.96288477322044, 35
19, 4.148168465113599, 18
20, 31.371900447883018, 81
21, 49.23989198332823, 13
22, 5.546575955721628, 76
23, 6.134216154767813, 18
24, 14.123151921478904, 23
25, 4.638857050754658, 63
26, 42.23118065349657, 26
27, 19.540010430168998, 62
28, 39.77207281513399, 52
29, 3.67879848424989, 80
30, 3.8156342544764135, 87
31, 20.99535590978502, 40
32, 31.677589903884527, 57
33, 40.42745275836573, 23
34, 14.93774913629155, 22
35, 32.983319672679094, 80
36, 30.332742949876533, 4
37, 5.860356977550635, 43
38, 49.68697888656844, 61
39, 49.74580243751593, 76
40, 27.324138583620844, 20
41, 26.08742778811485, 32
42, 46.329158962366584, 24
43, 30.30553871004106, 68
44, 1.1519087545554751, 65
45, 38.04804874671475, 27
46, 43.34371289793053, 14
47, 44.92861860132135, 3
48, 16.376986406208953, 28
49, 4.172138023281057, 88
50, 46.99240517861405, 34
51, 13.68332411407488, 25
52, 47.66146804838249, 44
53, 35.404178705624155, 83
54, 14.71604386979481, 95
55, 40.450586563274896, 55
56, 25.632827336469916, 51
57, 46.11740492025548, 32
58, 8.64797577182816, 87
59, 42.3017888841461, 91
60, 14.054138199192023, 50
61, 5.144730055201147, 98
62, 29.378944378936712, 21
63, 39.704976307538075, 92
64, 24.391589475226276, 57
65, 21.186866088334387, 95
66, 13.583696192462813, 40
67, 31.145548115506433, 77
68, 19.152292396617298, 25
69, 28.35710173581373, 47
70, 44.89473388817104, 8
71, 22.47016920419374, 4
72, 47.90487196719527, 32
73, 29.34346214302192, 37
74, 30.1941047708267, 82
75, 47.51890412164675, 67
76, 17.612666785086194, 3
77, 5.73249763991841, 41
78, 21.469340022987264, 23
79, 17.88722583849659, 9
80, 10.759208223579304, 47
81, 18.598214218407744, 99
82, 15.722644747161718, 1
83, 15.929457056631302, 1
84, 35.8401310923954, 27
85, 23.268831360142393, 41
86, 44.9371986957821, 71
87, 3.3117571419443492, 36
88, 30.090095554357454, 67
89, 10.873170980408858, 71
90, 13.902423425117739, 77
91, 47.31355305141215, 85
92, 3.741209795306766, 82
93, 21.08750704010275, 96
94, 21.760278313526243, 40
95, 9.907520635844486, 6
96, 40.13625960571105, 63
97, 2.3395921998693447, 35
98, 21.06186230453067, 15
99, 22.63925528941293, 76
