NR, Time, Parameter
0, 19.894183018465846, 74
1, 4.797690216863614, 68
2, 11.212247659273133, 98
3, 3.5518831326764033, 2
4, 32.58806398581681, 76
5, 4.482942229401532, 87
6, 44.17301968222658, 87
7, 48.91401035424186, 9
8, 23.483822978488345, 48
9, 43.25945623521449, 5
10, 43.03003025982166, 20
11, 29.102015029294108, 67
12, 10.908488228668134, 100
13, 1.4585816352332526, 31
14, 42.10734291574392, 94
15, 27.06061259701027, 35
16, 3.3440417126151702, 49
17, 19.594102785811707, 19
18, 28.37445440931613, 25
19, 46.94429901186952, 53
20, 24.342393880334534, 64
21, 2.7938542391704346, 51
22, 27.85900230884481, 47
23, 48.441950172647296, 53
24, 42.071730259698796, 50
25, 23.025228811072818, 96
26, 43.850647617475964, 5
27, 19.158235651950488, 89
28, 19.70006113121716, 19
29, 4.205633539828635, 65
30, 40.20909309153124, 46
31, 18.08352509902587, 38
32, 29.06067605575163, 99
33, 38.153353252717324, 32
34, 15.025154745588853, 4
35, 22.04876354534638, 55
36, 19.57581228751561, 25
37, 34.24289051673172, 77
38, 38.5105118857937, 91
39, 11.235986488890976, 53
40, 17.189495268663812, 38
41, 32.36116156150341, 48
42, 8.363741432732096, 24
43, 6.473788561861721, 21
44, 19.26701707195104, 55
45, 44.10320998505626, 15
46, 4.422982519685364, 18
47, 12.786321050093374, 100
48, 20.54678300971709, 17
49, 45.98175765154833, 94
50, 17.176133372201896, 83
51, 27.740263080383215, 41
52, 13.327752677167254, 19
53, 5.070593088558983, 65
54, 42.507517901524196, 81
55, 44.314217178136026, 5
56, 26.690047135558792, 63
57, 47.45717718687977, 76
58, 47.5185504880709, 79
59, 4.904305838013173, 79
60, 46.51525780840363, 18
61, 31.973501756825325, 92
62, 15.55674519667024, 91
63, 4.23176946417056, 76
64, 28.54468140106584, 48
65, 13.183485798762417, 25
66, 27.98528087840805, 30
67, 44.36807786448966, 92
68, 48.28468783289405, 36
69, 47.361735053708045, 23
70, 44.44817131967593, 85
71, 2.880159528803267, 68
72, 11.792510831696108, 31
73, 13.037102278037066, 25
74, 47.4681924340265, 4
75, 40.44584061560196, 30
76, 3.877416282402563, 90
77, 41.72269156792922, 85
78, 26.45009998213807, 51
79, 1.3994710050009351, 92
80, 13.353809107018606, 59
81, 38.91810094109334, 49
82, 45.80688017972892, 72
83, 33.756975557119766, 63
84, 16.541258542264263, 58
85, 20.068831587890724, 91
86, 44.74572454413474, 34
87, 36.087284524771825, 81
88, 16.775177771966693, 25
89, 18.024630459790803, 30
90, 21.82930684488968, 72
91, 23.609406870278786, 34
92, 19.65137324730278, 93
93, 29.732361725315727, 64
94, 19.115388379348484, 8
95, 21.5454009207419, 35
96, 6.3236579593563995, 22
97, 17.16287742761921, 47
98, 1.106300404476529, 89
99, 45.41293643709992, 73
