NR, Time, Parameter
0, 24.038993922281506, 12
1, 21.948952892292166, 68
2, 32.37738585901987, 7
3, 39.37328928368018, 95
4, 48.43218349101795, 3
5, 35.96127038813205, 45
6, 15.642201296629404, 86
7, 5.757877899218183, 64
8, 32.28035170207239, 96
9, 14.606896512509904, 20
10, 4.252021963065572, 18
11, 30.017414565437868, 73
12, 27.000667704931768, 36
13, 24.55695886992743, 98
14, 3.8301937843029377, 22
15, 41.21785117806071, 36
16, 25.07077106150052, 100
17, 2.1229916491037724, 48
18, 23.44371938719718, 64
19, 21.734496007603692, 3
20, 2.2073207792683123, 6
21, 0.1397794716198386, 33
22, 44.289638566081535, 48
23, 17.267608134697344, 43
24, 4.4344277536372605, 92
25, 25.794535232737402, 67
26, 7.497930305146927, 48
27, 28.150075347327565, 30
28, 20.64861996072272, 34
29, 25.58412858390985, 41
30, 18.478314824895527, 6
31, 18.31053208936988, 21
32, 39.25699538619264, 48
33, 36.479984239441585, 70
34, 35.71440541720986, 80
35, 23.488461245982617, 52
36, 10.395825743820463, 52
37, 30.105125850448612, 78
38, 27.913118697711692, 79
39, 17.753853569374684, 2
40, 38.61832381203701, 99
41, 31.812248734051522, 67
42, 9.23832138097535, 8
43, 3.035588289726776, 6
44, 46.40692998558672, 50
45, 12.640755934602844, 67
46, 6.213222775684662, 71
47, 45.76174636531235, 94
48, 0.24858648389868843, 80
49, 36.66424984435052, 82
50, 8.872253651722396, 60
51, 24.92236118035539, 31
52, 25.783167479133677, 48
53, 35.90906998658658, 24
54, 26.416065040134846, 8
55, 19.98543563030639, 31
56, 7.743046683445493, 8
57, 7.075047752501268, 51
58, 30.953734248095394, 37
59, 36.29948056149152, 66
60, 28.571021424675756, 85
61, 33.34894840812376, 39
62, 20.382060593957725, 20
63, 1.0354687432632625, 53
64, 37.823972745608955, 16
65, 18.412825734261222, 92
66, 42.25198012900391, 55
67, 10.693715924059182, 39
68, 48.03868263151304, 32
69, 4.108413853483378, 5
70, 41.101845871725715, 37
71, 47.27264232270732, 80
72, 19.49404260392189, 45
73, 47.30708589788264, 47
74, 37.88290034629847, 5
75, 9.329454378515173, 100
76, 11.453952908934696, 86
77, 18.45238072422546, 69
78, 34.15916978826944, 37
79, 9.583602830476467, 93
80, 1.1632050084562473, 10
81, 23.49160253154901, 39
82, 20.5595812917105, 35
83, 43.15420921541779, 65
84, 28.78547048567671, 67
85, 25.260816855830864, 2
86, 38.60184484193712, 93
87, 5.448259177942494, 30
88, 27.80451614313057, 64
89, 25.937345317920528, 35
90, 16.57756146993289, 17
91, 23.284134868567897, 89
92, 3.07650404933012, 88
93, 16.99645036367363, 37
94, 34.341372787610176, 7
95, 49.656301309527976, 37
96, 11.94085523658986, 27
97, 10.446858767320172, 97
98, 41.19687838668505, 24
99, 41.42627884679009, 32
