NR, Time, Parameter
0, 27.87863257353, 36
1, 1.2511094157168334, 19
2, 1.1263694458818363, 61
3, 21.062521438019676, 45
4, 4.025854657637096, 76
5, 22.257607933406632, 25
6, 14.902379024128198, 9
7, 15.854502750330084, 60
8, 38.32653656888647, 83
9, 38.84778626559709, 7
10, 31.099513764813747, 7
11, 39.438317728161145, 82
12, 35.881358774941894, 73
13, 42.55529019153237, 94
14, 1.6748569146948833, 52
15, 18.630032762299475, 45
16, 36.29862610483193, 19
17, 12.108407819593397, 37
18, 36.11757429815514, 43
19, 12.208308102687349, 42
20, 32.73470649764876, 54
21, 18.272849636525585, 43
22, 47.691555015852074, 25
23, 43.2459595340617, 16
24, 47.07432963386842, 55
25, 49.192666646797825, 80
26, 34.176915107451975, 85
27, 38.13458271826757, 4
28, 13.011419946854952, 3
29, 42.77336001379034, 73
30, 36.843125551447784, 8
31, 2.996500110481781, 31
32, 40.74663754838143, 74
33, 49.47999892885399, 85
34, 18.08365576880866, 53
35, 3.8898315573723643, 76
36, 34.471743839004354, 76
37, 25.093210700041286, 75
38, 36.779913827442456, 40
39, 49.6809218378178, 11
40, 27.380928435102962, 87
41, 44.33657315309404, 64
42, 10.75182137968978, 57
43, 39.377771291564784, 35
44, 20.089651058012702, 9
45, 15.597947958918745, 39
46, 23.519191685571254, 54
47, 46.165840734917445, 65
48, 32.14181019519075, 82
49, 20.418133777052805, 62
50, 33.44647884371128, 35
51, 36.02736013440723, 93
52, 29.177518714818635, 51
53, 33.560734112150406, 100
54, 41.694692292585934, 70
55, 44.271906892680086, 90
56, 30.705504870348687, 94
57, 18.643197309976365, 17
58, 18.443005310042228, 43
59, 48.897538185268225, 75
60, 18.74636226027305, 67
61, 32.09519334838695, 8
62, 13.811319216463364, 21
63, 35.06918185676279, 88
64, 11.577868090424271, 93
65, 9.024032791797643, 90
66, 9.296790695331836, 54
67, 45.41340704477304, 2
68, 15.777286990821166, 61
69, 34.020455271739195, 79
70, 26.751496055100493, 22
71, 45.73128862513827, 8
72, 12.668842097668032, 45
73, 3.361635735735835, 11
74, 26.59670613279558, 48
75, 1.611575971665602, 62
76, 15.37641638929666, 31
77, 10.660701450617344, 75
78, 41.90042469288732, 32
79, 22.68914756671799, 94
80, 25.017136089348863, 21
81, 13.057507744136142, 38
82, 43.237200119512366, 16
83, 0.1331378474748124, 41
84, 30.285381623527265, 36
85, 5.155580124514925, 95
86, 43.6880658090851, 21
87, 45.81619565263652, 28
88, 39.15455248376291, 61
89, 32.256985167287404, 45
90, 49.605609507146, 68
91, 45.78883415003077, 87
92, 34.984066991054334, 52
93, 20.68098981309451, 63
94, 23.95329933704672, 12
95, 10.1893488653647, 26
96, 45.93366249146643, 9
97, 25.274126482872667, 24
98, 0.43313396772527435, 45
99, 25.705836480069177, 25
