NR, Time, Parameter
0, 27.259951428032288, 4
1, 32.45174996098032, 47
2, 20.11491191906784, 16
3, 43.96733753543863, 10
4, 23.69290354061192, 46
5, 12.300244952718742, 0
6, 22.42849529373907, 52
7, 20.452007316240678, 67
8, 21.53067163075169, 42
9, 48.90853743266012, 19
10, 37.88478328454542, 83
11, 45.767596264384586, 82
12, 48.17921920539588, 37
13, 42.47870551296518, 0
14, 15.481004583801628, 39
15, 24.53762600482534, 15
16, 35.54106249040618, 40
17, 11.276916028695233, 9
18, 32.83242292485057, 61
19, 33.02380763689906, 40
20, 42.52101123508222, 12
21, 0.6366364850959927, 63
22, 24.509599244545427, 25
23, 32.11817933975095, 9
24, 24.816452708311132, 44
25, 3.1054937190397593, 53
26, 4.308049662995833, 73
27, 38.08975765974853, 22
28, 48.29990902728904, 18
29, 34.75048964229447, 79
30, 37.210542274946384, 74
31, 29.881011591193634, 9
32, 29.539314731313272, 66
33, 24.213962328946675, 26
34, 22.981092348812066, 24
35, 14.913499255389867, 23
36, 40.51825377863765, 39
37, 13.753083663667981, 57
38, 14.330557938646587, 77
39, 0.004271335799516107, 34
40, 24.669115033467083, 3
41, 22.196572925818113, 68
42, 20.799140209705147, 16
43, 38.72334332223708, 40
44, 49.32225386265252, 0
45, 34.591410993390035, 60
46, 20.676942661908555, 9
47, 38.869608103132094, 77
48, 3.5646221736176265, 60
49, 31.493746874524657, 88
50, 27.868156452973224, 99
51, 48.749411984264825, 11
52, 24.166063105716002, 30
53, 48.050680628944164, 21
54, 43.19389929555837, 75
55, 17.355664103648436, 34
56, 17.583762624683473, 24
57, 48.58002672187731, 4
58, 30.250927364059926, 9
59, 27.917219621980884, 45
60, 25.444174185937502, 44
61, 17.315836453664684, 94
62, 3.952686015114093, 94
63, 40.38802500644184, 41
64, 44.75987696467631, 57
65, 13.028601658064314, 91
66, 40.038334808928724, 50
67, 33.45384425138884, 31
68, 30.113867173494942, 14
69, 46.09127506553071, 6
70, 32.330623079797974, 60
71, 0.13464206851214744, 36
72, 0.5653957232207796, 31
73, 44.613036077050346, 1
74, 35.841224458620836, 40
75, 44.63942248812252, 15
76, 26.97881209712156, 2
77, 49.72305139941703, 31
78, 30.21034930762626, 100
79, 35.59216355753381, 19
80, 8.91055356019545, 69
81, 1.2066821310567188, 26
82, 29.428317540369537, 50
83, 38.447272092222654, 98
84, 46.98858214110718, 93
85, 1.995278983767107, 65
86, 18.5873362851659, 69
87, 27.734146415941485, 87
88, 47.42598245989576, 80
89, 48.60509287319078, 95
90, 1.052087791290679, 56
91, 26.70891007054034, 1
92, 7.577588182591699, 41
93, 7.872392091185038, 89
94, 16.897306997531285, 48
95, 14.124227945524892, 55
96, 35.4646990449403, 26
97, 43.34758192439514, 92
98, 11.836499475891065, 92
99, 20.876183782574216, 25
