NR, Time, Parameter
0, 32.85367143961696, 10
1, 21.30146215895704, 23
2, 8.870965658050906, 43
3, 2.2139865849215346, 96
4, 11.886987360948526, 73
5, 40.807394936896664, 51
6, 34.93762624003354, 44
7, 27.562456871811808, 52
8, 35.50803233038948, 91
9, 46.30970832031572, 8
10, 31.923680962260427, 81
11, 2.2207230487485017, 100
12, 41.42738964509141, 15
13, 15.69279861492432, 77
14, 11.08054489450801, 27
15, 18.640342776113055, 69
16, 20.79919342497318, 91
17, 33.07538308243927, 0
18, 5.02085902352723, 28
19, 25.78124601907854, 40
20, 37.46040798735756, 98
21, 43.13034341704551, 21
22, 29.306047535961856, 100
23, 42.72917899560941, 24
24, 39.49092198858345, 1
25, 5.29640093129804, 3
26, 3.4289956779626927, 37
27, 40.53233875104069, 59
28, 4.733844832743872, 69
29, 4.632129114575923, 47
30, 27.946828698664532, 49
31, 37.383680386219524, 83
32, 40.420976314923315, 76
33, 14.76018078907783, 72
34, 38.536266080438494, 14
35, 9.484638241435322, 51
36, 31.273615652475613, 92
37, 18.683862327107054, 45
38, 16.802147075837155, 73
39, 4.74444429272523, 94
40, 40.52796981972293, 28
41, 41.66570973720473, 73
42, 20.58921103635981, 56
43, 4.074195959294707, 55
44, 39.74766867617677, 63
45, 3.8401456486534924, 0
46, 26.81339718828653, 82
47, 15.55944331374753, 18
48, 29.872282166290944, 26
49, 35.356766046187346, 96
50, 41.77887363274582, 71
51, 45.3586130274044, 100
52, 42.373631498129086, 46
53, 0.86362938970167, 89
54, 5.070659369290831, 54
55, 4.186467883623479, 75
56, 11.000162067836412, 17
57, 3.711288706364546, 24
58, 13.972426793160842, 45
59, 8.15966910187918, 17
60, 2.104562730542414, 98
61, 40.41843237921091, 5
62, 33.286265675783945, 27
63, 23.900024172955042, 86
64, 3.652088320118846, 60
65, 24.801335246568712, 66
66, 27.78356609819701, 49
67, 7.724976061414185, 57
68, 12.744330816306654, 0
69, 19.4329926369438, 13
70, 3.414663929680711, 23
71, 45.255770688695435, 100
72, 48.81689166302102, 16
73, 36.04074009985662, 83
74, 11.477633534688515, 7
75, 49.73386652332905, 75
76, 49.83204634121326, 47
77, 47.159625989732156, 54
78, 15.900044698412202, 86
79, 4.6651200085946645, 14
80, 5.893983153390625, 55
81, 2.4033143488550124, 82
82, 3.1736193381407873, 10
83, 44.96086989396766, 85
84, 36.493240345924974, 85
85, 35.522780062656764, 99
86, 11.501117004007694, 86
87, 30.729057581631935, 77
88, 46.30825788589269, 25
89, 2.96436443258436, 41
90, 17.85886160422731, 95
91, 25.398422319064355, 63
92, 29.04045794928196, 17
93, 2.978380929377311, 100
94, 7.532170869842814, 14
95, 39.535642148736464, 84
96, 17.04218186439309, 55
97, 27.74857530672304, 88
98, 25.24476263713608, 77
99, 49.82214266296452, 13
