NR, Time, Parameter
0, 48.1154965074877, 34
1, 41.785417268319236, 88
2, 42.5335789018292, 53
3, 32.44232419361319, 21
4, 5.652827818882305, 89
5, 36.32055560449003, 20
6, 5.185655286918473, 75
7, 24.133742527017287, 72
8, 33.919656812460275, 23
9, 30.56615791460528, 99
10, 17.92994574135483, 3
11, 43.12878872620468, 93
12, 48.67222901126846, 16
13, 24.153982818274937, 62
14, 5.646873968688371, 52
15, 22.034394013126313, 8
16, 13.080643361424492, 40
17, 0.6180106492967019, 86
18, 26.24089560193148, 95
19, 28.832450406168974, 72
20, 11.199245966186949, 85
21, 43.65717818524712, 66
22, 26.1551587612337, 89
23, 30.91195080252071, 55
24, 33.08566314229815, 31
25, 24.09648386603202, 84
26, 33.81477841787206, 49
27, 7.432722612855214, 71
28, 44.60309408150301, 78
29, 2.728305761383792, 82
30, 46.71857102100825, 64
31, 42.442278738800034, 63
32, 43.4707817306384, 9
33, 37.57150005238054, 41
34, 12.044590834861557, 35
35, 2.517535726327197, 28
36, 27.52477848653395, 48
37, 20.163849673086144, 30
38, 3.941529787739584, 56
39, 40.06306438633611, 57
40, 4.4009930851270305, 63
41, 22.3534059956899, 15
42, 49.03353694728514, 95
43, 32.66865015691859, 13
44, 20.171982948608154, 4
45, 27.856550570241655, 0
46, 41.29543792117221, 77
47, 48.15856241400024, 81
48, 15.229897905182426, 65
49, 28.11662860469939, 83
50, 33.573718538957806, 43
51, 18.16712387849055, 6
52, 40.82943432886828, 58
53, 16.598631277736587, 98
54, 30.987898483854217, 60
55, 35.8329034064588, 46
56, 35.795675014157766, 14
57, 4.871851116165499, 84
58, 11.0873553910095, 43
59, 17.75694892923678, 81
60, 48.221684172717, 37
61, 27.38452908470671, 47
62, 35.10480266299927, 5
63, 44.84385593390292, 63
64, 7.022459366112443, 91
65, 37.12554451881315, 52
66, 5.348075275975949, 78
67, 9.796073357590807, 15
68, 46.510812957657265, 50
69, 10.779475218447299, 100
70, 9.528938202853466, 43
71, 5.3882873643746, 53
72, 2.325018095458492, 81
73, 41.87331187432325, 75
74, 6.160959516519743, 57
75, 22.86939384730782, 75
76, 47.80951608128755, 17
77, 48.192737809877336, 0
78, 26.51821737595421, 6
79, 27.66131644521217, 55
80, 41.94080553394583, 61
81, 46.21854368907694, 99
82, 46.05811570219006, 22
83, 34.59088563120156, 22
84, 36.52473308713889, 16
85, 5.177698056178381, 84
86, 30.027301090270562, 41
87, 25.20550596765822, 49
88, 20.933237291686517, 77
89, 45.79551208485496, 97
90, 12.411939454673181, 50
91, 48.17967688398763, 37
92, 22.642285304068338, 17
93, 6.9090002822672805, 77
94, 35.000714244856255, 95
95, 25.614731125128685, 89
96, 27.390298567975886, 40
97, 35.59371781975725, 70
98, 31.629164225363194, 25
99, 10.485634812775096, 91
