NR, Time, Parameter
0, 7.650773340510031, 21
1, 8.098347977794983, 90
2, 11.273514235773336, 66
3, 44.746295841056224, 10
4, 12.530265449099954, 81
5, 47.817581352159905, 35
6, 6.258514756345135, 38
7, 30.7214139154099, 11
8, 25.128657237063134, 21
9, 29.590422265830256, 74
10, 7.709713343978159, 84
11, 31.223959371683286, 77
12, 16.880979330290106, 72
13, 2.059715176089205, 3
14, 4.061142744668494, 82
15, 38.55111843972326, 33
16, 32.556498874279995, 98
17, 28.606860122303207, 79
18, 31.949559610443522, 63
19, 44.44984407244772, 69
20, 14.483582840080288, 38
21, 24.14724090877097, 87
22, 20.304626337227923, 58
23, 3.6486512752672895, 7
24, 7.904022350760359, 53
25, 24.21255650536796, 26
26, 17.009628417588868, 18
27, 15.629124962346651, 91
28, 15.965819632336403, 44
29, 48.76870639574401, 16
30, 38.03324973975874, 65
31, 28.08256078741846, 40
32, 12.086893046823356, 15
33, 13.373583722709121, 31
34, 7.0438817504091755, 6
35, 14.510600248495075, 49
36, 43.20819251812154, 53
37, 12.41351401905933, 20
38, 40.673892321972474, 73
39, 36.056421441106096, 24
40, 38.156068756931425, 63
41, 49.79847055477084, 59
42, 24.937985419882708, 39
43, 24.86851365237545, 11
44, 47.261640203461866, 64
45, 22.861532109486543, 30
46, 10.757221126312055, 45
47, 2.432906646482796, 36
48, 24.744710176258817, 83
49, 33.626030188272466, 36
50, 26.83453746444635, 13
51, 21.546388467377025, 33
52, 36.375403167969594, 97
53, 20.162703605717923, 5
54, 20.02908105073783, 72
55, 28.090843258297184, 46
56, 27.661146331057584, 9
57, 19.317441248988924, 57
58, 38.22020573536198, 35
59, 41.26556589793067, 79
60, 34.01993200594304, 15
61, 6.433169534460759, 12
62, 19.695185636430356, 43
63, 27.891591913606433, 46
64, 37.748258614639695, 25
65, 30.123147558094004, 51
66, 25.003895178532193, 5
67, 1.9456983123110116, 91
68, 16.65203526763836, 60
69, 25.96663551665416, 19
70, 30.313026120190205, 65
71, 6.98904928861776, 78
72, 15.926501587965353, 50
73, 49.530786878057, 94
74, 42.13009636820642, 75
75, 16.818672607583917, 65
76, 26.61699149379382, 90
77, 28.14621303222722, 60
78, 40.787441662191206, 47
79, 16.56197967894613, 14
80, 48.99490155895809, 74
81, 15.383891685588214, 92
82, 43.60495570601658, 80
83, 1.3323577481916593, 60
84, 13.276521849286066, 83
85, 39.14519957157107, 99
86, 28.923716611278948, 29
87, 36.07000561481534, 74
88, 24.0224391857207, 67
89, 31.45126205726818, 79
90, 38.73030649169055, 48
91, 7.388785415016591, 87
92, 12.109828007061225, 73
93, 47.410258539215064, 14
94, 9.539216391346367, 56
95, 15.68462417229276, 19
96, 20.64800548944632, 26
97, 20.518870466135255, 99
98, 30.57390299458837, 60
99, 43.64088544561602, 94
