NR, Time, Parameter
0, 19.859074507943664, 19
1, 26.81149915134532, 80
2, 37.21269466831976, 36
3, 13.282336129346012, 47
4, 25.543981190182187, 20
5, 41.7411171650834, 96
6, 30.380925631626777, 42
7, 9.788621711380063, 33
8, 19.63162203102099, 83
9, 14.269086514282886, 3
10, 22.277172134581154, 83
11, 33.59231856160056, 98
12, 20.284541027467718, 23
13, 5.634674445413085, 49
14, 40.23179080587983, 95
15, 46.654177037713794, 26
16, 10.007131755262344, 72
17, 36.7851263833318, 38
18, 41.64648491507389, 86
19, 10.717121469472401, 75
20, 40.893014633421075, 46
21, 23.188988512146302, 82
22, 31.30588167526202, 72
23, 44.51032574637995, 32
24, 10.840302896164127, 3
25, 15.495078270271545, 27
26, 41.479359634563004, 42
27, 10.317634977248574, 92
28, 19.428586110461232, 41
29, 22.894216695513382, 50
30, 30.090648961759598, 21
31, 46.04094754594648, 61
32, 28.041493369914726, 36
33, 39.750158781849294, 85
34, 42.867951444471316, 31
35, 3.88370626284566, 13
36, 44.2206177861507, 3
37, 30.963837001483153, 1
38, 47.339355675217256, 0
39, 15.172327475644876, 48
40, 36.43741144542057, 20
41, 4.861633499539581, 47
42, 10.765432061915142, 24
43, 48.54700990884216, 94
44, 43.822232027657684, 9
45, 13.998934037047261, 83
46, 1.1197266345731594, 98
47, 1.7496376851654394, 15
48, 15.102505736737726, 33
49, 22.8463824578098, 26
50, 6.016251042264087, 81
51, 37.21302671448327, 87
52, 39.6381262802957, 60
53, 8.729064469912661, 14
54, 4.304763572219395, 30
55, 22.76222887254945, 74
56, 34.74592885279834, 34
57, 13.503341757714354, 89
58, 28.16153261055238, 8
59, 36.5717011287069, 19
60, 10.773778731062173, 50
61, 33.900963283116006, 3
62, 1.858058384591127, 55
63, 41.522560814656906, 52
64, 8.751144622604217, 1
65, 28.83803430848126, 5
66, 32.83050137125337, 98
67, 43.81879131526609, 90
68, 14.078430354174538, 61
69, 10.134931579955298, 34
70, 1.2206437704125606, 34
71, 48.15948041975184, 24
72, 11.740925047425627, 57
73, 40.51769636643998, 83
74, 2.206155238122076, 72
75, 41.769624075665405, 55
76, 27.947219815904806, 89
77, 24.426381212459418, 29
78, 35.77846618311724, 95
79, 2.364726471348516, 46
80, 4.420799984801215, 47
81, 22.812874175874214, 60
82, 27.229537130853053, 47
83, 32.93006714501265, 47
84, 36.30993014239671, 69
85, 7.2847848090198735, 94
86, 31.96570923432251, 52
87, 8.698136575598935, 51
88, 18.605495790945053, 44
89, 38.36566444205103, 18
90, 40.711374086386684, 96
91, 44.47145405952285, 86
92, 27.11342960887617, 46
93, 48.069320779931296, 11
94, 30.107594748288502, 17
95, 16.640203790634523, 45
96, 32.27320703363238, 57
97, 37.685165755157094, 87
98, 8.213807601385154, 5
99, 17.17268806187543, 80
