NR, Time, Parameter
0, 9.593729156564839, 86
1, 0.8121296151632984, 79
2, 39.65247691813681, 100
3, 39.69957243857672, 16
4, 14.022134487966076, 80
5, 42.933087478874725, 37
6, 0.11003031527500595, 54
7, 33.667377448705835, 65
8, 37.23399199091668, 34
9, 20.50557553444633, 25
10, 40.29767114665656, 86
11, 25.86961632177157, 77
12, 11.50360813449024, 30
13, 12.867713424819316, 60
14, 18.54635071103558, 94
15, 26.34050711290871, 55
16, 45.12649350326286, 32
17, 36.582736684859725, 64
18, 21.73288716973591, 46
19, 40.59676911233742, 22
20, 14.213939848948032, 93
21, 28.10099988303894, 49
22, 47.18883097925117, 17
23, 27.724253509107765, 43
24, 1.041177827778006, 34
25, 10.210121177146513, 2
26, 28.880886682111328, 44
27, 8.154460778117627, 97
28, 42.62823781350343, 81
29, 45.1710056274931, 66
30, 40.348032720932, 47
31, 30.43893027006812, 61
32, 42.17639998777034, 1
33, 12.436933655037812, 54
34, 40.3334300608587, 77
35, 43.68122553831556, 54
36, 14.168961467876716, 26
37, 16.13579675590236, 12
38, 41.9753431759354, 60
39, 20.24288003449787, 5
40, 12.93071339201436, 15
41, 40.12838808799085, 66
42, 10.07045768370115, 4
43, 38.10110598501483, 75
44, 17.01114783956435, 17
45, 27.52393801087839, 58
46, 10.613326703966209, 35
47, 49.297754945159674, 94
48, 36.48629211281262, 82
49, 20.09825768581107, 48
50, 25.817240388271017, 55
51, 21.48497419430832, 75
52, 26.94469526830708, 74
53, 12.910705230007002, 2
54, 20.42915027618267, 13
55, 22.87880394618216, 82
56, 1.1124513567174144, 55
57, 29.212103058207873, 10
58, 42.31396662475998, 79
59, 22.015736590394752, 10
60, 4.039678732423807, 97
61, 10.744640156038404, 67
62, 13.03549811099385, 91
63, 46.61710856308397, 57
64, 5.131451538474241, 50
65, 24.021722685273467, 45
66, 20.941566464355255, 93
67, 16.289618611354946, 83
68, 16.93532506993919, 69
69, 36.39856632991999, 54
70, 47.18413949757919, 87
71, 4.79609608067551, 62
72, 33.10931857397078, 33
73, 28.148756134069863, 92
74, 34.15453030940219, 26
75, 14.204329883416833, 26
76, 48.48283677009901, 47
77, 30.53481313869053, 81
78, 49.169136373302834, 73
79, 25.85614559339963, 2
80, 44.147170698793566, 35
81, 16.210256799857603, 2
82, 32.285650571854305, 100
83, 20.448037761646688, 90
84, 28.83070736787759, 29
85, 24.22362765042323, 39
86, 2.278057163847391, 91
87, 37.46949765875968, 33
88, 45.06205252481538, 71
89, 21.731675443090865, 60
90, 41.571938880908455, 68
91, 29.391368913582944, 42
92, 40.076864676811766, 15
93, 15.033135920377816, 4
94, 42.22422284262369, 42
95, 2.7848515586322673, 87
96, 42.96325491395498, 68
97, 16.18630620512861, 90
98, 49.94959775004623, 54
99, 37.22840889261278, 96
