NR, Time, Parameter
0, 0.9840131016809861, 90
1, 34.50706396056261, 88
2, 29.57825691955747, 90
3, 13.605569712707688, 72
4, 10.75457377715447, 34
5, 18.561570718076315, 99
6, 12.009901121329026, 70
7, 32.16232734742886, 7
8, 31.069207743823966, 91
9, 30.806281905459755, 12
10, 47.73757481362364, 18
11, 7.2099193001735395, 35
12, 27.199307066246124, 59
13, 1.4080638391456402, 93
14, 36.76893545613473, 60
15, 7.551167810115516, 49
16, 49.14817894092177, 73
17, 20.34369193192053, 23
18, 8.872803439644839, 10
19, 49.59278907478188, 38
20, 39.67254614239673, 23
21, 14.480630313600889, 33
22, 41.61908659714233, 88
23, 32.28430884832477, 27
24, 8.619567162996534, 12
25, 5.3941147526984645, 79
26, 2.580884857269389, 24
27, 15.273938098017837, 67
28, 21.581057868606134, 88
29, 19.074124923017706, 6
30, 23.744557057320776, 19
31, 27.307767197249937, 57
32, 34.72292857348834, 21
33, 2.80452740723271, 19
34, 38.951801521758696, 4
35, 29.727840920992627, 99
36, 39.62112487720165, 50
37, 44.66312557555275, 53
38, 36.072085103221966, 8
39, 28.56206199541351, 25
40, 20.46350797952569, 69
41, 29.169619467548006, 1
42, 16.94820764096317, 60
43, 30.24575982726681, 3
44, 2.996624669350567, 63
45, 12.16975045821126, 42
46, 47.765747754999, 72
47, 48.28484245103756, 3
48, 39.926503025514954, 27
49, 30.766796865120206, 11
50, 9.475327936051498, 99
51, 1.730364432315712, 57
52, 8.583258897158391, 11
53, 5.457853974474164, 69
54, 40.649846337987015, 72
55, 2.062822410182802, 65
56, 23.630699844881704, 9
57, 32.75429881730957, 63
58, 7.126752356304921, 15
59, 1.247586236992837, 32
60, 15.810667675040202, 90
61, 38.67369900618782, 95
62, 20.375633907447448, 14
63, 49.93968065678252, 14
64, 28.473971101337618, 70
65, 40.38715399533883, 8
66, 23.698049721954234, 0
67, 22.739408260895054, 39
68, 12.243920343764986, 6
69, 49.16251934259041, 18
70, 41.25262805282432, 97
71, 15.076718961125518, 100
72, 46.533678063151044, 16
73, 9.18335630019974, 18
74, 4.642148557285141, 50
75, 0.7698376268411911, 43
76, 9.054185902578315, 75
77, 13.493905125308336, 10
78, 7.09580367593089, 93
79, 45.69311959166795, 85
80, 36.521268269798774, 74
81, 13.57985895316709, 94
82, 41.16464199352175, 60
83, 44.16509649913554, 48
84, 30.851203584150948, 26
85, 33.72014693268819, 53
86, 32.07763978299123, 45
87, 15.790313517441367, 28
88, 46.147462774273, 60
89, 20.448764442988782, 83
90, 23.280934468909308, 38
91, 36.01000478759086, 3
92, 48.525566969318156, 86
93, 6.696826320271337, 44
94, 41.35806213767893, 45
95, 29.217305980641356, 44
96, 5.597337850281941, 4
97, 6.5706618524226155, 13
98, 28.74862315781967, 14
99, 15.98345710153975, 68
