NR, Time, Parameter
0, 27.532428327960506, 81
1, 48.029263111438645, 69
2, 19.84437071808167, 86
3, 9.02131275908769, 29
4, 36.1053357236429, 16
5, 8.43918998626742, 31
6, 44.38568877993552, 61
7, 1.7091329775618003, 11
8, 31.071604776694933, 91
9, 45.178349065046206, 71
10, 20.06418740915435, 53
11, 46.12518221469503, 75
12, 38.78429255511231, 84
13, 6.5859267636930845, 60
14, 28.293014513136246, 99
15, 24.20180743913336, 66
16, 24.853151367225752, 89
17, 3.814433236270509, 20
18, 40.27828846488713, 72
19, 18.1146535266949, 52
20, 8.684057211979196, 14
21, 23.6944727285629, 85
22, 28.871872794740582, 39
23, 15.020852951279007, 54
24, 0.4170984903182018, 24
25, 38.0120855505583, 69
26, 27.83539425826013, 0
27, 23.55036921966414, 2
28, 16.209069668718012, 89
29, 2.066372401564359, 67
30, 24.383410927735067, 43
31, 34.238737106058004, 19
32, 46.949835129530065, 18
33, 34.055280744735484, 93
34, 35.16541520360245, 96
35, 0.18132257546076835, 92
36, 44.37234904210954, 46
37, 14.877872305577256, 34
38, 3.341161980609908, 35
39, 26.491364649790977, 79
40, 6.874453894253269, 89
41, 3.407539075446736, 34
42, 20.289537092690324, 16
43, 43.72230748328102, 40
44, 32.51169761259908, 2
45, 38.99594698014677, 45
46, 8.555864321348732, 87
47, 34.027296890002596, 57
48, 12.643117932891446, 21
49, 41.261832434982345, 29
50, 43.38605803300089, 50
51, 2.7701081638341565, 68
52, 45.42738227807065, 43
53, 14.617732441032121, 69
54, 46.60022032963157, 24
55, 10.08315943680585, 73
56, 48.37976670729484, 64
57, 47.61735964321019, 18
58, 45.10434316020744, 88
59, 27.769535860481625, 50
60, 26.74543548644252, 82
61, 0.523284981490918, 6
62, 39.781048181624904, 33
63, 16.77864918315195, 76
64, 7.676458071589465, 17
65, 20.06679642402625, 9
66, 13.394554980667905, 84
67, 26.576249428928172, 64
68, 35.184740684823325, 79
69, 31.713390894347203, 0
70, 4.782689126201934, 5
71, 36.1183438848173, 72
72, 21.614273449909476, 77
73, 49.060828181737406, 61
74, 33.46547116794976, 3
75, 30.87125835162646, 44
76, 3.680697668886662, 16
77, 2.3110084679566545, 71
78, 7.7368704787301565, 92
79, 36.04352524609551, 16
80, 11.913746679888925, 90
81, 7.469730067823593, 72
82, 22.498163894480903, 0
83, 41.56703549200762, 73
84, 32.37226078323895, 25
85, 37.69754226379738, 74
86, 17.023292372197236, 20
87, 29.66949005033492, 13
88, 17.183550274195607, 80
89, 45.427714054269345, 41
90, 40.527704404627144, 9
91, 21.467815653353128, 27
92, 40.10361418290362, 82
93, 22.18158732476902, 36
94, 30.077098371413975, 2
95, 45.20188785625922, 59
96, 16.71234288457406, 58
97, 15.135196483131924, 14
98, 49.74595114280149, 39
99, 45.73701477926914, 38
