NR, Time, Parameter
0, 14.678717858510193, 96
1, 30.914030049182063, 60
2, 49.83155413021694, 96
3, 49.056659880764826, 1
4, 5.736097570113263, 44
5, 22.283362314234623, 82
6, 30.685054853039716, 79
7, 12.191358193344183, 5
8, 34.127568038426396, 41
9, 19.06863038090334, 14
10, 19.293796739202197, 69
11, 36.1987804184962, 3
12, 45.5667963314309, 98
13, 18.747902108098955, 65
14, 22.2778448785859, 5
15, 14.821698478714229, 83
16, 9.625619396683854, 65
17, 4.117272402425042, 12
18, 8.369740460674747, 98
19, 26.898741548212552, 0
20, 31.346653798770834, 26
21, 33.51675630715283, 99
22, 10.658756593223979, 87
23, 21.210472597057027, 13
24, 10.278978399095761, 89
25, 43.93186158546206, 94
26, 38.76033702315306, 82
27, 40.83771740635898, 9
28, 37.344541283713106, 19
29, 1.1876473051403547, 91
30, 16.58576877336439, 11
31, 3.662401457975828, 22
32, 39.71073934879452, 71
33, 3.522104611606258, 29
34, 45.54932872155605, 52
35, 19.401630182238538, 80
36, 20.222401035213856, 40
37, 0.8445484152070637, 86
38, 5.915288081330944, 0
39, 32.07113732408198, 79
40, 3.1618795379849463, 95
41, 29.28040066566946, 89
42, 42.41256195030713, 45
43, 46.40238750831669, 13
44, 14.491829941754004, 87
45, 15.067535492243556, 11
46, 14.075872214613195, 56
47, 19.070678724018205, 84
48, 1.5409575678362208, 20
49, 26.67338819051747, 17
50, 37.337695580345596, 69
51, 14.748923465659564, 81
52, 7.203776872924156, 86
53, 44.34890594861243, 93
54, 32.39703043294344, 1
55, 27.676209388213945, 71
56, 7.068693311227542, 5
57, 0.2514919537002558, 76
58, 19.704085043501866, 70
59, 47.34896946144359, 39
60, 10.50264453451953, 94
61, 45.17731879872729, 44
62, 10.586847146099243, 82
63, 42.57294256707754, 18
64, 8.047717878219752, 28
65, 30.84424616200788, 32
66, 9.716310767316273, 23
67, 33.548895567528916, 72
68, 42.61255638837378, 96
69, 46.61849327015743, 70
70, 23.063260184479695, 70
71, 3.6572286079275096, 85
72, 3.3681378702400675, 12
73, 9.870879622395801, 74
74, 24.359520506687428, 42
75, 17.85691795059112, 85
76, 32.77364903484764, 12
77, 14.256857193826056, 8
78, 45.00592954214609, 40
79, 24.293061513694365, 42
80, 30.817121512972655, 39
81, 34.672906467381836, 19
82, 28.277600395255494, 46
83, 40.384988232081064, 54
84, 8.431975545299009, 40
85, 12.308756927274207, 28
86, 35.60995636128493, 82
87, 21.806203304484423, 46
88, 6.715291619144442, 93
89, 16.57814751486697, 61
90, 23.14241880378051, 45
91, 38.73834807629578, 62
92, 27.583591308009858, 22
93, 32.27758020409482, 10
94, 42.08964976691303, 17
95, 44.56485194661395, 25
96, 13.161732529679165, 80
97, 3.823118927860769, 9
98, 44.60525923171277, 64
99, 31.58132472306275, 74
