NR, Time, Parameter
0, 10.935983622719686, 58
1, 18.660034634340594, 79
2, 31.886429588032783, 78
3, 45.63757273674165, 84
4, 24.39271920015356, 0
5, 26.61062425063683, 52
6, 0.5925484063946218, 67
7, 36.10963608128605, 68
8, 48.873967411625586, 2
9, 25.11080161227182, 89
10, 33.70164760596052, 22
11, 5.350821434724645, 12
12, 26.219270061290818, 30
13, 9.596602849580659, 67
14, 12.620909815734022, 45
15, 13.36623683383179, 50
16, 3.9509621907217687, 51
17, 22.949887277559256, 31
18, 49.511651581986364, 28
19, 14.998732016996152, 10
20, 32.686785977957655, 83
21, 37.979292508842235, 11
22, 20.263914905214314, 48
23, 27.635071976484767, 7
24, 31.837403777781937, 89
25, 8.569178761052381, 63
26, 42.266489727016406, 82
27, 39.218815539505556, 72
28, 48.8664611644895, 12
29, 44.73956060713499, 5
30, 11.488324855050836, 88
31, 44.377715351724675, 60
32, 13.554752635420098, 9
33, 34.221437173182075, 35
34, 44.965582543250434, 72
35, 32.90546202395178, 22
36, 46.43831806273296, 40
37, 0.7829047595967309, 26
38, 29.35180520422442, 96
39, 41.034537074234855, 50
40, 46.44374701266642, 38
41, 8.122512535735293, 30
42, 28.334795994553918, 49
43, 33.85174829383409, 69
44, 16.586491981091427, 96
45, 36.98725854603595, 88
46, 36.20817850471575, 64
47, 37.27282806274418, 44
48, 2.68482159736968, 55
49, 11.60720021973351, 9
50, 17.0296373237553, 98
51, 30.693261681071814, 76
52, 19.835152465447976, 99
53, 16.31883234889271, 81
54, 13.666351431439866, 57
55, 24.530172805539664, 45
56, 27.65188624752419, 48
57, 21.592397311977233, 87
58, 29.29375606055256, 48
59, 4.2847058818367865, 79
60, 14.768974035253812, 31
61, 35.655426633919284, 10
62, 13.39860154473072, 48
63, 35.58385773893084, 81
64, 7.713844530155988, 49
65, 15.833911434076809, 13
66, 4.576021434811955, 39
67, 22.236793249814767, 97
68, 13.488322161969323, 16
69, 4.364861617755805, 55
70, 22.44218385107257, 71
71, 25.622042420522934, 13
72, 1.31309520066486, 45
73, 27.7109902698786, 76
74, 29.902189889713643, 41
75, 43.18590886340958, 1
76, 14.59236756481605, 49
77, 38.958455281220196, 92
78, 45.056802242821654, 31
79, 28.598021537476974, 21
80, 34.26579958972783, 21
81, 6.942002947970838, 38
82, 13.420339857460533, 18
83, 3.16335751384772, 55
84, 13.79809358012018, 38
85, 24.211565696696425, 9
86, 18.056245614476403, 31
87, 36.04497262277964, 63
88, 29.69031990195393, 25
89, 22.89308164528473, 17
90, 15.232899787562848, 50
91, 16.610860765581346, 79
92, 18.994497807352413, 42
93, 22.011146074062665, 55
94, 40.773773500150156, 83
95, 48.71126882523034, 17
96, 15.02176423395617, 77
97, 47.36394610080581, 25
98, 23.950487119772763, 22
99, 48.2287311547397, 40
