NR, Time, Parameter
0, 36.43335592728111, 42
1, 4.455286299497418, 51
2, 28.70014447753452, 87
3, 19.37255703095866, 52
4, 19.06453546003068, 60
5, 6.925475167954542, 43
6, 9.149479901739694, 39
7, 17.757847598720694, 90
8, 21.518044501194556, 32
9, 24.984091181581647, 23
10, 13.025278375084604, 25
11, 11.332010236084711, 82
12, 31.650366291988043, 43
13, 22.586374637415773, 12
14, 26.193363688054617, 2
15, 43.965063097387336, 7
16, 49.10050614071205, 7
17, 34.1355042059522, 12
18, 8.425655589151715, 67
19, 0.6289239990193485, 41
20, 19.237676004418685, 3
21, 40.00190865440109, 72
22, 28.168235113783187, 8
23, 47.785585065332405, 24
24, 31.824087955382613, 63
25, 9.089335253541913, 27
26, 48.788718635308726, 12
27, 43.60485474883805, 19
28, 29.985915263804902, 73
29, 8.846414421288952, 56
30, 35.31837830169985, 98
31, 8.87460056965378, 19
32, 40.71807370297441, 56
33, 1.5170833550701313, 4
34, 46.76465225874999, 15
35, 40.360241731348616, 39
36, 46.75162557193299, 13
37, 17.452701063093564, 23
38, 29.505316361221983, 21
39, 45.01153010864614, 63
40, 9.657984824293614, 19
41, 49.86709528162763, 43
42, 46.89091311941559, 84
43, 27.399021696958737, 49
44, 39.20313248333915, 14
45, 33.43525400551477, 8
46, 16.91719712548784, 46
47, 7.069068863783534, 62
48, 9.417009276916815, 51
49, 2.0795193904345477, 7
50, 45.83052507875324, 61
51, 40.545368136317045, 84
52, 35.38187174298299, 75
53, 4.939018505727555, 66
54, 4.547673710999112, 83
55, 16.027653184483583, 67
56, 28.149834862011218, 89
57, 26.596284106996958, 50
58, 37.84617354958546, 82
59, 10.046604380965812, 41
60, 6.773783433401793, 97
61, 9.902075787245906, 80
62, 21.31595999160337, 55
63, 18.85334740668121, 62
64, 1.1917075109628583, 13
65, 16.075724944939086, 61
66, 30.48316180289114, 39
67, 24.880730357873198, 100
68, 38.537038597164276, 98
69, 34.20261990238043, 7
70, 26.377506491265144, 5
71, 9.403945113263967, 11
72, 15.35599153194298, 75
73, 37.392569296164936, 73
74, 27.13935158154322, 82
75, 15.682681552789008, 6
76, 26.714606593535507, 6
77, 48.33840999862027, 49
78, 9.411950540455283, 68
79, 2.621762761379076, 87
80, 43.68526020415278, 94
81, 25.418741451198024, 22
82, 25.437279183724492, 87
83, 34.95915571031, 27
84, 4.932536727649622, 23
85, 44.617803849863684, 91
86, 16.015526306988104, 91
87, 10.180411672322155, 26
88, 28.55726653353167, 78
89, 0.7796354760355784, 48
90, 10.301491953552027, 88
91, 5.816551269707171, 37
92, 0.23693923070869927, 30
93, 32.97970958562111, 42
94, 49.22009824851816, 49
95, 41.328610564906825, 47
96, 45.87918476677958, 51
97, 2.237839309844741, 18
98, 29.937581809674636, 79
99, 33.42664027891505, 54
