NR, Time, Parameter
0, 24.292098277149254, 2
1, 2.766363642954822, 10
2, 15.695238710045716, 38
3, 43.35858898743305, 52
4, 44.83866220840597, 85
5, 32.8715301624385, 11
6, 19.844752528951364, 92
7, 42.137513362079915, 30
8, 5.596618194495651, 94
9, 25.012426425865087, 15
10, 26.097877943596664, 74
11, 47.48372501697982, 67
12, 12.59040292220231, 11
13, 11.903842762046052, 15
14, 38.659544217097476, 40
15, 16.46429554832509, 74
16, 36.86181768400619, 95
17, 37.1979487076171, 54
18, 10.900419259174877, 13
19, 8.757712771784004, 35
20, 21.973770636460017, 32
21, 43.14499668385123, 7
22, 24.517929007660584, 47
23, 34.98088641044158, 14
24, 15.824497321898129, 54
25, 23.742706210441305, 31
26, 48.16576699828124, 100
27, 46.84861456785781, 46
28, 23.761089040216515, 47
29, 41.06826830959744, 2
30, 32.26987941816641, 77
31, 1.7404715871337628, 94
32, 33.111171722017716, 6
33, 34.534122764117, 100
34, 33.57992963480794, 32
35, 27.636395165581334, 39
36, 31.947452932031307, 89
37, 18.14275492100309, 87
38, 6.102688437294468, 30
39, 42.882356957496256, 49
40, 0.39330531276355885, 50
41, 46.37537001743646, 32
42, 15.044407580141094, 96
43, 11.773022747569867, 26
44, 42.970836866738914, 20
45, 45.79454006211677, 80
46, 15.859217896859063, 98
47, 32.22147502239376, 4
48, 13.701826284246366, 10
49, 41.159889019823325, 62
50, 23.554564169400173, 52
51, 46.32486099048088, 42
52, 35.86930089532062, 12
53, 41.22004328680908, 89
54, 13.048503736531181, 8
55, 17.59281732919459, 77
56, 36.46157973014863, 70
57, 36.88927603020085, 58
58, 34.76050497120279, 97
59, 2.604941145097012, 82
60, 9.186981108097857, 56
61, 39.55096589069769, 17
62, 0.1537901910624806, 25
63, 31.41481366215182, 40
64, 28.79046726309957, 14
65, 7.891121972204579, 66
66, 35.6781970596554, 98
67, 41.53106907352081, 97
68, 6.504647749275128, 76
69, 34.28766891744591, 40
70, 22.57449495731498, 94
71, 6.675490089014124, 22
72, 34.37334358432159, 41
73, 39.97643339700897, 25
74, 4.2199475372196815, 47
75, 9.09446269031397, 48
76, 47.237857742115494, 73
77, 11.224356673931563, 2
78, 46.155617594171304, 82
79, 30.600157986069977, 29
80, 45.34223902559897, 59
81, 9.913310133585018, 89
82, 42.59154355852155, 6
83, 20.051745555551364, 54
84, 30.019636549114352, 19
85, 4.453063368064486, 47
86, 8.50614419104289, 72
87, 5.867525940431245, 91
88, 26.29188501654518, 98
89, 45.99945244501713, 58
90, 41.362872598174974, 63
91, 5.925617450655974, 91
92, 10.1572681928218, 100
93, 13.31014234124197, 95
94, 24.708407887098755, 16
95, 21.565429440266538, 26
96, 30.00413932486124, 36
97, 36.335403351928534, 24
98, 20.916549556095106, 52
99, 39.62317673338311, 3
