NR, Time, Parameter
0, 23.028532224393594, 58
1, 14.539366478497662, 11
2, 33.548210467380734, 17
3, 24.41388752192179, 49
4, 30.106158995955518, 100
5, 3.7314143391594223, 69
6, 33.64871360258558, 82
7, 27.571290785317654, 35
8, 4.595102969017501, 91
9, 29.611031116102982, 17
10, 21.78712273622719, 22
11, 8.13593944196152, 77
12, 47.151256530556054, 42
13, 25.611338238282084, 9
14, 22.463955005032776, 90
15, 44.08207237560425, 33
16, 36.05030467041257, 46
17, 13.320052220019635, 16
18, 5.261789569000708, 70
19, 17.33057226278456, 37
20, 18.64242050279176, 5
21, 15.948022319047766, 99
22, 25.289880531437337, 0
23, 42.246091953656766, 18
24, 6.3164267109945715, 46
25, 24.847248133459885, 0
26, 35.515330945895094, 2
27, 46.904846926896774, 6
28, 3.168466550155824, 51
29, 10.97786461015819, 90
30, 44.9238212191206, 52
31, 13.755449261754432, 6
32, 22.967907850324014, 27
33, 41.36404027641282, 35
34, 42.3809159042376, 60
35, 49.593973598489654, 64
36, 8.14775001985668, 71
37, 30.551327142156044, 92
38, 44.273940767179226, 35
39, 0.252843297425942, 11
40, 24.27374069399038, 83
41, 47.26599339858219, 66
42, 9.138410970910549, 88
43, 13.090878247125726, 57
44, 12.018523771349138, 17
45, 49.68428999918896, 9
46, 19.47430370062497, 69
47, 46.20979910017259, 98
48, 18.657081203999738, 61
49, 3.295554242624882, 100
50, 17.571613543842414, 71
51, 32.07402106300553, 96
52, 47.43956851176986, 11
53, 5.808432614192716, 47
54, 48.73622842171255, 78
55, 8.900012762785142, 59
56, 44.295428994023176, 13
57, 49.052743917808534, 84
58, 4.3086824249414235, 23
59, 21.370183706607975, 95
60, 44.005597026504425, 95
61, 18.13636579640685, 56
62, 2.662005581265503, 72
63, 6.808213963959203, 5
64, 1.64140219329873, 9
65, 40.48309938244073, 75
66, 15.695505097689267, 1
67, 0.23017486817430433, 61
68, 12.82128427403083, 89
69, 41.49885512440438, 83
70, 4.331185250452369, 64
71, 28.700124764892305, 39
72, 28.08871891773362, 41
73, 34.95634209105207, 29
74, 40.53640836695571, 18
75, 39.87243792693577, 66
76, 23.416260783822967, 75
77, 27.766645913230008, 27
78, 43.260225600549305, 52
79, 17.23068882953564, 76
80, 12.854541942115327, 60
81, 38.29955537452067, 52
82, 41.81661856647672, 11
83, 47.966808313282286, 92
84, 25.73352006289939, 18
85, 48.87021052618881, 25
86, 40.23867410080679, 68
87, 4.132122998393095, 98
88, 36.26764296496143, 9
89, 1.7760836548421255, 42
90, 2.2701968080286186, 45
91, 38.73415982778383, 84
92, 30.538693593174848, 28
93, 34.23011831312473, 8
94, 23.413603340239025, 37
95, 10.666787613488804, 100
96, 39.53339372887165, 46
97, 21.892519763124575, 67
98, 38.19704423893576, 30
99, 16.869755413888804, 19
