NR, Time, Parameter
0, 37.814312052719444, 29
1, 8.12117881874292, 81
2, 41.802020219083204, 37
3, 30.0776982353188, 64
4, 32.02974881433063, 27
5, 21.32616536727167, 44
6, 36.77215771405797, 67
7, 0.3491534497000848, 87
8, 12.583408609572471, 96
9, 8.063208335881434, 7
10, 3.1391488365542286, 44
11, 45.1346731681057, 7
12, 30.992269424963787, 55
13, 3.997580585641791, 97
14, 44.93198421452556, 57
15, 0.5999471907197129, 95
16, 33.72505608507681, 40
17, 29.406931166122146, 46
18, 34.90379887859553, 77
19, 33.90977753672603, 8
20, 28.460056432499474, 93
21, 41.98625881935059, 57
22, 17.905626349967957, 61
23, 18.522169627135593, 38
24, 38.17062396149615, 40
25, 27.295845001599723, 95
26, 9.514252553921798, 75
27, 8.527646974734765, 88
28, 17.644748244334902, 59
29, 43.99873258979626, 41
30, 46.17230102280216, 51
31, 23.181192900494608, 59
32, 22.60882040585758, 18
33, 36.89295975511971, 49
34, 20.979858171058485, 3
35, 43.66808799633086, 100
36, 15.836174928194785, 80
37, 7.469196393869165, 46
38, 0.697508243613415, 84
39, 45.26811546563355, 19
40, 29.646858180330295, 23
41, 10.84968935506277, 2
42, 19.56458221088656, 19
43, 13.544504097594029, 25
44, 1.0840335850873684, 50
45, 7.915816941679315, 70
46, 13.88347976943079, 24
47, 24.32673856870271, 92
48, 24.95684453578898, 55
49, 47.36654454901706, 20
50, 24.367107066921857, 85
51, 2.9880208348368855, 13
52, 3.3453039649688874, 41
53, 35.30120532091716, 77
54, 14.466092788233532, 30
55, 25.938134991876026, 63
56, 40.18110231176162, 53
57, 24.525343631568397, 39
58, 31.575430243686732, 43
59, 31.52295176335123, 87
60, 30.92400931902134, 78
61, 6.092369407086007, 16
62, 26.481836021653233, 43
63, 36.237837513295815, 88
64, 43.2048768282434, 47
65, 28.266384441565982, 60
66, 3.156249604266054, 57
67, 18.500425821915485, 31
68, 10.472799444413461, 41
69, 34.41408881300626, 40
70, 31.69357140203487, 60
71, 39.340306922991324, 71
72, 17.037866852141835, 42
73, 34.91647735028631, 16
74, 48.273695007649344, 100
75, 31.634086583657172, 29
76, 35.405244154049, 78
77, 11.850893800453054, 31
78, 24.429396004713333, 60
79, 44.52785254247386, 40
80, 25.54802331355518, 12
81, 19.207167159837603, 18
82, 31.180349857231576, 10
83, 26.46177801897394, 59
84, 30.129988826971697, 93
85, 13.300365979569195, 57
86, 19.478823906717157, 24
87, 39.56407896054748, 35
88, 35.59538094069188, 46
89, 42.3886391437647, 7
90, 23.68734674401045, 28
91, 31.65349103624121, 41
92, 17.808438772274844, 79
93, 24.127656058176566, 18
94, 39.18421353129952, 40
95, 24.234885716916832, 40
96, 30.23855123043563, 68
97, 10.002916985801026, 82
98, 9.409752844916913, 76
99, 30.25407050563485, 37
