NR, Time, Parameter
0, 29.88179385327257, 12
1, 7.067953574139491, 78
2, 42.884349787548, 76
3, 13.3450338025552, 19
4, 2.7538196805775295, 39
5, 34.22179597691971, 79
6, 45.86805020784682, 13
7, 1.1453913224305945, 13
8, 45.88590215696939, 95
9, 19.12226341001777, 82
10, 19.026769209661225, 78
11, 4.664172238584369, 7
12, 44.75857718056269, 89
13, 36.33550872148435, 81
14, 6.620737224831169, 85
15, 12.502935951202215, 94
16, 6.174894945508925, 68
17, 7.069767794535769, 64
18, 46.25276108307608, 19
19, 34.3507040603901, 81
20, 40.52761066675981, 45
21, 46.3935332887011, 51
22, 8.52496089428048, 100
23, 19.05144223409076, 79
24, 28.424037538132353, 48
25, 47.73017322495974, 3
26, 26.453906742316757, 80
27, 13.549503123972318, 73
28, 39.9815477178986, 90
29, 4.317514876185102, 0
30, 0.5561215226585703, 72
31, 11.519727535230034, 84
32, 39.98264843007357, 81
33, 46.12418783343678, 81
34, 17.584752474828292, 16
35, 38.00316830451385, 70
36, 31.364863535711564, 6
37, 35.17295949207125, 20
38, 7.2883628422415025, 5
39, 48.00815531812177, 84
40, 23.165129092659427, 34
41, 27.942837901264543, 78
42, 24.66728863679471, 16
43, 12.70443156550134, 24
44, 27.825055071369047, 15
45, 7.2374025769756045, 44
46, 4.418615361765616, 42
47, 9.313316233816582, 91
48, 40.57010227616723, 42
49, 33.844570814016976, 65
50, 44.22920082714611, 82
51, 1.15340154860058, 18
52, 45.6763754158289, 66
53, 19.971682882284963, 48
54, 2.1958911001816848, 70
55, 1.4339958032602462, 23
56, 13.107370217440174, 53
57, 39.158782869060396, 38
58, 44.32044419538456, 33
59, 22.557759268067528, 51
60, 34.62950251241409, 77
61, 48.30194873402468, 5
62, 35.90085528029942, 2
63, 12.858782660448798, 10
64, 31.728216075404152, 93
65, 29.22118250469098, 42
66, 21.782579419069947, 88
67, 12.97926426091705, 4
68, 4.688417874492723, 49
69, 16.46144525222666, 45
70, 21.57075882153926, 17
71, 11.027879087188586, 71
72, 24.606848333345027, 65
73, 46.337303336877525, 56
74, 36.400262221721356, 48
75, 17.379736313807946, 89
76, 49.12680644963778, 78
77, 31.17201619952467, 30
78, 3.703444527835986, 49
79, 32.95009507200926, 6
80, 20.834523307962087, 16
81, 44.25245408992406, 17
82, 42.16729461833022, 2
83, 44.23604387349793, 12
84, 39.96821892519146, 24
85, 27.80062868527716, 1
86, 46.105245604903324, 61
87, 41.53539299559657, 35
88, 33.270457295043855, 57
89, 45.12753966532912, 10
90, 37.68326698892484, 78
91, 0.7711895608600416, 65
92, 0.833816158516143, 42
93, 6.062659904333939, 92
94, 36.51381405307015, 66
95, 29.343171342327786, 97
96, 16.13260721037263, 31
97, 28.005974430027763, 91
98, 28.476890657040578, 39
99, 3.6708923388724504, 91
