NR, Time, Parameter
0, 26.91829092793957, 82
1, 11.524571523982601, 16
2, 41.58266446214842, 100
3, 13.473289367801911, 34
4, 4.523293361698199, 74
5, 2.8766104744117724, 99
6, 16.666988190768972, 76
7, 19.64108992854391, 78
8, 30.057174196387855, 17
9, 47.568942254946315, 15
10, 7.132146970453429, 63
11, 20.074424966457453, 9
12, 24.056105859497833, 39
13, 29.399907354896982, 35
14, 8.002655605065273, 1
15, 19.19653906757099, 76
16, 38.74369817486563, 34
17, 32.045861740748116, 72
18, 10.157473721238613, 57
19, 17.0948913775884, 12
20, 29.297842879756942, 23
21, 19.77616080877876, 9
22, 35.14953152428568, 12
23, 24.08087900742033, 29
24, 36.12735621660288, 16
25, 47.20770583434112, 35
26, 23.672627403774083, 19
27, 33.38898973652982, 65
28, 31.477765708345746, 51
29, 12.59372583892015, 13
30, 44.864955136815546, 18
31, 35.060976082609905, 79
32, 21.286172092134326, 57
33, 40.43257749321034, 29
34, 1.3224851356854528, 73
35, 29.654574453212017, 84
36, 37.09133486425858, 68
37, 45.119287918724005, 40
38, 43.72799625151924, 34
39, 3.0542210456177052, 21
40, 35.25752689908993, 8
41, 17.69164379353942, 29
42, 43.00299224699471, 45
43, 0.4966547033917357, 12
44, 13.545288968787982, 92
45, 38.594652391811465, 12
46, 29.09433455759557, 13
47, 14.975634678364836, 85
48, 42.06581080308906, 66
49, 42.56762021840237, 62
50, 45.866269838541626, 59
51, 31.885562516621334, 33
52, 23.306888194927804, 16
53, 18.718086813548258, 94
54, 12.56621400265751, 16
55, 7.666271169017191, 11
56, 25.085918808451364, 30
57, 35.40979915061537, 32
58, 31.414127647092567, 86
59, 16.066804044102117, 69
60, 39.560846280105906, 75
61, 9.016634052974643, 0
62, 15.125555832557664, 69
63, 24.155125950514588, 5
64, 21.571102921928947, 81
65, 19.110190804867, 73
66, 9.913713470713203, 26
67, 44.03138057681849, 96
68, 8.50777647976268, 75
69, 49.30886684290693, 55
70, 17.714507540790365, 45
71, 43.63035396393806, 7
72, 8.296457804848739, 59
73, 35.82058233875844, 85
74, 14.491806164396925, 55
75, 13.746855801839397, 66
76, 16.677176816962586, 64
77, 39.28050726070552, 45
78, 36.7620444026931, 67
79, 9.605272050776453, 94
80, 27.074293483717828, 99
81, 16.031950600248102, 55
82, 35.530073118856066, 61
83, 6.748784111637912, 100
84, 8.595054230835085, 94
85, 25.395768979983586, 50
86, 24.11275100906539, 84
87, 29.22505318333158, 21
88, 18.120629826614092, 27
89, 43.11317681526372, 81
90, 43.74479514318784, 94
91, 18.66160783177357, 100
92, 29.28011171213914, 21
93, 27.772457211846103, 22
94, 9.178345229318879, 44
95, 0.43114228359683593, 13
96, 26.664181867000096, 45
97, 36.466805188288696, 84
98, 46.69131064252166, 51
99, 8.400132416536266, 38
