NR, Time, Parameter
0, 34.89121404385195, 11
1, 42.469605201136886, 58
2, 43.47502316838355, 76
3, 10.130471665484054, 23
4, 48.5919383320689, 46
5, 39.971906615697144, 24
6, 28.717480526664424, 29
7, 38.01203433284972, 29
8, 0.8349003753229334, 47
9, 13.632167328046691, 36
10, 36.70379950954081, 89
11, 15.983588236688707, 10
12, 43.54364084848344, 53
13, 16.542352912232406, 7
14, 44.819224045560176, 74
15, 14.83999944789166, 18
16, 43.034308444065225, 90
17, 26.400650004745323, 4
18, 7.395282861370456, 22
19, 19.797241197304476, 33
20, 20.613242592616444, 67
21, 39.20606536206901, 80
22, 46.442651630978595, 42
23, 36.960778426516356, 73
24, 1.2274914021359717, 92
25, 1.726063826898916, 8
26, 42.80969976440631, 83
27, 45.29593552082525, 41
28, 35.504743197851454, 69
29, 25.221212593010495, 99
30, 15.803144908892458, 6
31, 30.339586072175788, 24
32, 14.22165944850099, 99
33, 18.251236425118517, 31
34, 11.21352202464685, 53
35, 10.154135809821247, 30
36, 0.3256594075669361, 61
37, 35.43341412106382, 47
38, 34.99513279745543, 24
39, 23.27311251333252, 6
40, 0.14490767480392353, 69
41, 44.985412166196234, 15
42, 20.281021584223534, 33
43, 11.664362419708517, 57
44, 1.6502420007390883, 82
45, 7.336120715697153, 100
46, 23.12110513848215, 95
47, 13.477724954797377, 7
48, 5.565956540001587, 23
49, 17.05045167496937, 89
50, 43.6911965245005, 21
51, 27.58996780906717, 87
52, 41.73371151275678, 28
53, 43.13041985488291, 80
54, 40.98782523177471, 95
55, 23.5350363301242, 57
56, 32.0971901865928, 69
57, 18.705601014451023, 67
58, 5.422036146377524, 48
59, 30.256506221163953, 47
60, 1.840506626146271, 77
61, 4.719687437109904, 94
62, 11.837733897519254, 88
63, 38.711534277649385, 30
64, 1.52633032332124, 89
65, 3.459469221916689, 7
66, 34.28156239806163, 92
67, 18.15418336260317, 75
68, 4.198111137171068, 48
69, 30.328780699177855, 70
70, 9.460224675889577, 91
71, 32.523001757873615, 62
72, 29.44290049816755, 48
73, 14.37612050905196, 63
74, 1.396493062053683, 77
75, 35.669387063615545, 32
76, 36.13413508980628, 5
77, 19.28535452126917, 90
78, 35.868773535427955, 80
79, 14.80076422098145, 45
80, 41.40173314111011, 94
81, 16.70244767179112, 25
82, 46.5697857890043, 47
83, 23.35422859395081, 84
84, 24.87314896750893, 48
85, 43.25021630848616, 0
86, 28.827465422809023, 50
87, 8.996330152954336, 1
88, 23.44869283511663, 82
89, 16.01689585498669, 18
90, 32.62764809347391, 92
91, 9.114390034290686, 14
92, 29.048335426165924, 20
93, 20.533495778616274, 97
94, 6.433520457965564, 80
95, 32.88240111731923, 100
96, 36.98084310408025, 8
97, 6.064052716312185, 55
98, 25.62663624463266, 2
99, 36.97519194988166, 3
