NR, Time, Parameter
0, 13.644869047543073, 39
1, 8.179195284066582, 73
2, 26.93519988558123, 31
3, 41.70320547891232, 97
4, 32.369036138793014, 41
5, 30.82283974336695, 87
6, 20.77192511841423, 88
7, 24.064974407671624, 61
8, 39.862518360554894, 10
9, 49.14690567288983, 31
10, 43.15222933706957, 2
11, 39.482196483318035, 21
12, 21.563810396622124, 20
13, 37.08769280507969, 59
14, 36.429703525965074, 30
15, 20.13420213924618, 1
16, 2.135303139575906, 25
17, 7.1624769289470755, 72
18, 0.7949615175460834, 4
19, 35.158550356101145, 81
20, 2.7801060796990793, 38
21, 42.1213434835086, 52
22, 3.377684155354377, 82
23, 15.588207282537974, 18
24, 22.580504977419274, 62
25, 12.470977322025107, 94
26, 35.28324489477502, 40
27, 12.990380323923645, 6
28, 35.719929233594584, 36
29, 8.801805466896905, 31
30, 6.247047111597786, 79
31, 24.635465666164087, 18
32, 36.205919349688834, 95
33, 3.0582579727125747, 55
34, 22.143731620298546, 46
35, 40.57123953963837, 34
36, 47.30446471680117, 28
37, 31.098640410770813, 39
38, 47.79789083868178, 87
39, 28.728429377170468, 75
40, 0.9612360139103993, 40
41, 42.68358208686548, 94
42, 38.893642526816144, 75
43, 43.25632124514308, 88
44, 17.337980931445014, 65
45, 23.440493478602136, 88
46, 11.121604343642993, 58
47, 9.906400832578527, 65
48, 4.930399690544851, 28
49, 12.313665456955809, 61
50, 11.622172697348221, 43
51, 12.427605550390213, 86
52, 10.409570876685386, 23
53, 49.28801366314395, 54
54, 15.51130790318208, 22
55, 7.626351823330019, 97
56, 23.782655571924387, 32
57, 1.0819400226850184, 72
58, 26.936683198179377, 24
59, 35.72896861245178, 58
60, 7.864126583548159, 30
61, 11.507574970588363, 5
62, 16.2098332926089, 9
63, 19.988056290223355, 16
64, 12.426905640028185, 16
65, 16.332678160010865, 3
66, 24.373684714995985, 11
67, 18.2818759036101, 45
68, 16.21330921885424, 63
69, 2.706949339796533, 75
70, 47.801108645781255, 34
71, 31.702495365465772, 89
72, 2.6163623755361245, 19
73, 7.615630662203193, 82
74, 40.89098300303407, 86
75, 14.957688356303912, 43
76, 19.663513193111275, 9
77, 3.934811649371406, 79
78, 7.813471694043178, 47
79, 42.792546409220016, 16
80, 16.037095052216284, 65
81, 40.03921926493253, 4
82, 47.06901516255517, 98
83, 25.843625171247016, 75
84, 4.556655453324504, 31
85, 41.11477694558119, 93
86, 48.68587549251542, 44
87, 45.17093301613686, 44
88, 35.77484143634235, 28
89, 36.46129954180996, 39
90, 30.562018588557095, 32
91, 46.58002993542391, 8
92, 30.82351971900113, 60
93, 5.503759284757659, 88
94, 24.860619328290785, 96
95, 15.70294810754892, 63
96, 47.46969272243845, 50
97, 21.612134872951298, 29
98, 8.683882265833176, 65
99, 31.59018071353254, 16
